Title,Platforms,Link
Eldest Souls,"PS4, PS5",https://www.pushsquare.comgames/ps5/eldest_souls
Elite Dangerous,PS4,https://www.pushsquare.comgames/ps4/elite_dangerous
Embr,PS4,https://www.pushsquare.comgames/ps4/embr
Empire of Sin,PS4,https://www.pushsquare.comgames/ps4/empire_of_sin
Enter the Gungeon,PS4,https://www.pushsquare.comgames/ps4/enter_the_gungeon
Entwined,PS4,https://www.pushsquare.comgames/ps4/entwined
Erica,PS4,https://www.pushsquare.comgames/ps4/erica
Everybody's Golf,PS4,https://www.pushsquare.comgames/ps4/everybodys_golf
F.I.S.T.: Forged in Shadow Torch,"PS4, PS5",https://www.pushsquare.comgames/ps5/f_i_s_t_forged_in_shadow_torch
Fade to Silence,PS4,https://www.pushsquare.comgames/ps4/fade_to_silence
Fallout 4,PS4,https://www.pushsquare.comgames/ps4/fallout_4
Fallout 76,PS4,https://www.pushsquare.comgames/ps4/fallout_76
Far Cry 3: Blood Dragon Classic,PS4,https://www.pushsquare.comgames/ps4/far_cry_3_blood_dragon_classic
Far Cry 3: Classic Edition,PS4,https://www.pushsquare.comgames/ps4/far_cry_3_classic_edition
Far Cry 4,PS4,https://www.pushsquare.comgames/ps4/far_cry_4
Far Cry 5,PS4,https://www.pushsquare.comgames/ps4/far_cry_5
Far Cry 6,"PS4, PS5",https://www.pushsquare.comgames/ps5/far_cry_6
Far Cry Primal,PS4,https://www.pushsquare.comgames/ps4/far_cry_primal
Far Cry: New Dawn,PS4,https://www.pushsquare.comgames/ps4/far_cry_new_dawn
FAR: Changing Tides,"PS4, PS5",https://www.pushsquare.comgames/ps5/far_changing_tides
FIA European Truck Racing Championship,PS4,https://www.pushsquare.comgames/ps4/fia_european_truck_racing_championship
Final Fantasy VII Remake,PS4,https://www.pushsquare.comgames/ps4/final_fantasy_vii_remake
Final Fantasy VII Remake Intergrade,PS5,https://www.pushsquare.comgames/ps5/final_fantasy_vii_remake_intergrade
Firefighting Simulator: The Squad,"PS4, PS5",https://www.pushsquare.comgames/ps5/firefighting_simulator_the_squad
Football Manager 2024 Console,PS5,https://www.pushsquare.comgames/ps5/football_manager_2024_console
For Honor,PS4,https://www.pushsquare.comgames/ps4/for_honor
For the King,PS4,https://www.pushsquare.comgames/ps4/for_the_king
Forager,PS4,https://www.pushsquare.comgames/ps4/forager
Foreclosed,PS4,https://www.pushsquare.comgames/ps4/foreclosed
